segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,10,10,10,10,10,10,10,10,10,10,10,10,6
1,10,10,10,10,10,10,10,10,10,10,10,10,8
2,10,10,10,10,10,10,10,10,10,10,10,10,6
3,10,10,10,10,10,10,10,10,10,10,10,10,6
4,10,10,10,10,10,10,10,10,10,10,10,10,4
5,10,10,10,10,10,10,10,10,10,10,10,10,4
6,10,10,10,10,10,10,10,10,10,10,10,10,6
7,10,10,10,10,10,10,10,10,10,10,10,10,4
8,10,4,10,10,4,6,10,10,10,10,10,10,6
9,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,6,10,6
11,10,10,10,10,6,6,10,10,10,10,10,6,8
12,10,10,10,10,10,10,10,10,10,10,10,10,6
13,8,10,10,10,10,10,10,10,10,10,10,10,4
14,6,10,10,10,10,10,10,10,10,10,4,10,8
15,8,10,10,10,10,10,10,10,10,10,6,10,8
16,10,10,10,10,10,10,10,10,10,10,10,10,4
17,10,10,10,10,6,6,6,6,6,10,10,10,6
