segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,9,7,8,8,6,9,8,9,9,10,5,8
1,8,9,7,8,7,6,9,8,9,9,10,5,8
2,8,9,7,8,7,6,9,8,9,9,10,5,7
3,8,9,7,8,7,6,9,8,9,8,10,5,8
4,8,9,6,8,7,6,9,8,9,9,10,4,8
5,8,9,8,8,8,8,9,8,9,9,10,8,8
6,8,9,6,8,7,6,9,8,9,9,10,5,8
7,8,9,7,8,7,6,9,8,9,9,10,5,8
8,8,9,7,8,8,7,9,8,9,9,10,6,8
9,8,9,7,8,7,5,9,8,7,9,10,4,8
10,8,9,7,8,7,5,9,8,9,9,10,4,8
11,8,9,6,8,7,6,9,8,9,9,10,5,8
12,8,9,7,8,8,6,9,8,9,9,10,5,6
13,8,9,8,9,8,8,9,8,9,9,10,7,8
14,8,9,6,8,7,5,9,8,9,9,10,4,7
15,8,9,5,8,7,4,9,8,7,9,10,5,8
16,8,9,7,8,8,7,9,8,9,9,10,7,8
17,8,9,7,8,8,7,9,8,9,9,10,7,8
